"코드구분(GBN_CD)","코드구분명(GBN_NM)","코드값(CODE)","코드명(CODE_NM)"
"03","교통카드발행사","3103101","티머니"
"03","교통카드발행사","3103102","티머니"
"03","교통카드발행사","3103103","티머니"
"03","교통카드발행사","3103104","티머니"
"03","교통카드발행사","3103105","티머니"
"03","교통카드발행사","3103106","티머니"
"03","교통카드발행사","3103107","티머니"
"03","교통카드발행사","3103108","티머니"
"03","교통카드발행사","3103109","티머니"
"03","교통카드발행사","3104000","이비"
"03","교통카드발행사","3104001","이비"
"03","교통카드발행사","3104002","이비"
"03","교통카드발행사","3104003","이비"
"03","교통카드발행사","3104004","이비"
"03","교통카드발행사","3104011","이비"
"03","교통카드발행사","3104012","이비"
"03","교통카드발행사","3104013","이비"
"03","교통카드발행사","3104014","이비"
"03","교통카드발행사","3104015","이비"
"03","교통카드발행사","3104016","이비"
"03","교통카드발행사","3104017","이비"
"03","교통카드발행사","3104101","이비"
"03","교통카드발행사","3104102","이비"
"03","교통카드발행사","3104103","이비"
"03","교통카드발행사","3104104","이비"
"03","교통카드발행사","3104105","이비"
"03","교통카드발행사","3104106","이비"
"03","교통카드발행사","3104107","이비"
"03","교통카드발행사","3104201","이비"
"03","교통카드발행사","3104202","이비"
"03","교통카드발행사","3104203","이비"
"03","교통카드발행사","3104204","이비"
"03","교통카드발행사","3104205","이비"
"03","교통카드발행사","3104301","이비"
"03","교통카드발행사","3104302","이비"
"03","교통카드발행사","3104303","이비"
"03","교통카드발행사","3104401","이비"
"03","교통카드발행사","3104402","이비"
"03","교통카드발행사","3104403","이비"
"03","교통카드발행사","3104501","이비"
"03","교통카드발행사","3104502","이비"
"03","교통카드발행사","3104503","이비"
"03","교통카드발행사","3106000","조합 선불 카드"
"03","교통카드발행사","3106001","조합 선불 카드"
"03","교통카드발행사","3106002","조합 선불 카드"
"03","교통카드발행사","3106003","조합 선불 카드"
"03","교통카드발행사","3106004","조합 선불 카드"
"03","교통카드발행사","3106005","조합 선불 카드"
"03","교통카드발행사","3106006","조합 선불 카드"
"03","교통카드발행사","3106007","조합 선불 카드"
"03","교통카드발행사","3106008","조합 선불 카드"
"03","교통카드발행사","3106009","조합 선불 카드"
"03","교통카드발행사","3106010","조합 선불 카드"
